id,latitude_deg,longitude_deg,local_code
7058,38.86869812,-77.00749969,09W
7059,47.71039963,-117.4069977,09WA
7060,44.00360107,-91.30760193,09WI
7061,29.43300056,-98.49220276,09XS
7062,44.8166008,-93.01550293,09Y
322435,59.403055,-136.013611,0AA6
325323,60.491537,-151.2352525,0AA7
7063,61.934601,-162.899994,0AK
7064,64.39250183,-146.8619995,0AK0
7065,61.6169014,-149.3220062,0AK1
45273,61.725556,-150.678611,0AK2
7066,62.03590012,-150.4940033,0AK3
7067,61.355352,-142.731832,0AK5
7068,61.80339813,-147.9440002,0AK6
7069,59.77610016,-150.9589996,0AK7
7070,64.895835,-147.497501,
7071,61.33259964,-150.0590057,0AK9
7072,34.68840027,-86.58889771,0AL0
7073,30.44389915,-87.6568985,0AL1
7074,33.27500153,-85.83329773,0AL2
7075,31.43059921,-86.94029999,0AL3
7076,34.442141,-85.755793,0AL4
7077,31.03219986,-87.25279999,0AL5
7078,31.12719917,-87.07330322,0AL6
7079,34.00830078,-85.96530151,0AL7
7080,33.46390152,-86.77310181,0AL8
7081,34.84999847,-87.63249969,0AL9
7082,36.18149948,-94.13710022,0AR0
7083,35.09469986,-93.20200348,0AR1
7084,35.26679993,-90.35009766,0AR2
7085,35.898998,-93.261001,
7086,36.40929,-94.46005,0AR4
7087,35.83620071,-90.70179749,0AR5
7088,34.48149872,-93.03099823,0AR6
7089,33.95009995,-91.18119812,0AR7
7090,33.95009995,-93.85209656,0AR8
7091,36.40010071,-93.74349976,0AR9
7092,33.48130035,-112.0400009,0AZ0
7093,32.30089951,-111.3239975,0AZ1
7094,33.77809906,-113.6419983,0AZ2
7095,32.9822998,-112.2870026,0AZ4
7096,33.86589813,-112.6029968,0AZ5
7097,33.4817009,-112.0770035,0AZ6
7098,33.44369888,-111.9629974,0AZ7
7099,44.76369858,-68.76779938,0B2
7100,44.11669922,-72.82710266,0B7
7101,39.4878006,-94.78050232,0C1
7102,41.77090073,-88.70339966,0C2
7103,43.57640076,-85.2806015,0C5
7104,41.521999,-89.132599,IL22
7105,41.51950073,-88.60559845,0C8
7106,40.63819885,-74.97570038,0C9
7107,33.923302,-118.241997,
7108,34.98830032,-120.4580002,
7109,34.04919815,-118.4560013,0CA2
7110,34.58750153,-120.0130005,0CA3
7111,34.62220001,-120.0650024,0CA4
7112,33.14310074,-116.7450027,0CA5
7113,32.7494444,-116.0161111,0CA6
7114,33.75699997,-118.0879974,0CA7
7115,33.42779922,-116.8430023,0CA8
7116,35.59500122,-120.3389969,0CA9
7117,38.745155,-108.047973,0CD0
7118,40.2610917,-103.7963389,0CD1
7119,38.65250015,-104.2340012,0CD2
7120,40.34799957,-104.5279999,0CD3
7121,40.14630127,-104.887001,0CD4
7122,37.4905014,-104.1439972,0CD5
7123,39.97169876,-105.0849991,0CD6
7124,40.00469971,-105.0719986,0CD7
7125,38.07109833,-102.6090012,0CD8
7126,39.60309982,-105.0910034,0CD9
7127,37.11800003,-119.913002,0CL0
7128,34.56940079,-117.5559998,0CL1
7129,32.59389877,-117.0849991,0CL2
7130,32.6330986,-116.8929977,0CL3
7131,34.15719986,-118.2549973,0CL4
7132,33.67060089,-117.8580017,0CL5
7133,34.69469833,-118.2829971,0CL6
7134,34.054901,-118.264967,0CL7
7135,35.59130096,-117.6340027,0CL8
7136,33.74110031,-117.151001,0CL9
322308,37.452178,-120.764758,0CN1
324643,39.228622,-121.688265,0CN2
7137,40.17890167,-105.1259995,0CO0
7138,40.03329849,-105.1240005,0CO1
7139,38.851918,-106.928341,0CO2
7140,39.8894,-104.544997,
7141,40.58990097,-105.0459976,0CO4
7142,39.83330154,-103.5899963,0CO5
7143,38.2193985,-108.2129974,0CO6
7144,40.58549881,-105.0400009,0CO7
7145,40.20830154,-105.0130005,0CO8
7146,37.65829849,-106.0339966,0CO9
7147,41.88119888,-73.48100281,0CT0
7148,41.48479843,-72.7562027,0CT1
7149,41.71699905,-72.22589874,0CT2
7150,41.66159821,-72.78790283,0CT3
7151,41.50619888,-72.93979645,0CT4
7152,41.7745018,-72.6989975,0CT5
7153,41.59680176,-72.70449829,0CT6
7154,41.18840027,-73.16619873,0CT7
7155,41.4056015,-73.44470215,0CT8
7156,41.75450134,-72.67870331,0CT9
7157,40.47499847,-96.9878006,0D6
7158,40.79059982,-83.82910156,0D7
315634,44.958,-84.9587,MI30
7159,40.75450134,-93.24130249,0.00E+00
7160,25.81290054,-80.33889771,0FA0
7161,27.3039,-81.880403,0FA1
45349,30.119753,-83.592732,0FA2
320961,28.5727778,-81.6286111,0FA5
7162,29.2675,-81.230103,0FD0
7163,30.21409988,-85.87220001,0FD1
7164,25.95999264,-80.2370026,0FD2
7165,30.49640083,-86.09380341,0FD3
7166,29.3614006,-82.20819855,0FD4
7167,30.82019997,-86.3443985,0FD5
7168,27.90749931,-80.48639679,0FD6
7169,30.65209961,-86.10939789,0FD9
7170,26.73060036,-81.16390228,0FL0
7171,29.98329926,-82.83560181,0FL1
7172,28.78779984,-81.16419983,0FL2
7173,29.60280037,-82.98169708,0FL3
7174,30.70499992,-85.37830353,0FL4
